Title,Description,Start Date,End Date,Tags
"F classes end, Y classes break for holidays.","F classes end, Y classes break for holidays.",2021-12-07,2021-12-07,"Fall/Winter,Breaks,Academic"
Last day to request Late Withdrawal (LWD) for F courses at UTM.,Last day to request Late Withdrawal (LWD) for F courses at UTM.,2021-12-07,2021-12-07,"LWD,Fall/Winter,Academic"
"Last day to request or cancel Credit/No Credit for UTM F courses with a final exam. If there is no final exam, request or cancel CR/NCR before the last assignment or test is due in the course.","Last day to request or cancel Credit/No Credit for UTM F courses with a final exam. If there is no final exam, request or cancel CR/NCR before the last assignment or test is due in the course.",2021-12-07,2021-12-07,"Fall/Winter,Cr/NCr,Academic"
Deadline for eligible students to submit their Second Attempt for Credit request for F courses or cancel an existing request.,Deadline for eligible students to submit their Second Attempt for Credit request for F courses or cancel an existing request.,2021-12-07,2021-12-07,"Fall/Winter,Academic"
Study Break.,Study Break.,2021-12-08,2021-12-08,"Fall/Winter,Breaks,Academic"
Last day to request Late Withdrawal (LWD) for F courses at St.George.,Last day to request Late Withdrawal (LWD) for F courses at St.George.,2021-12-08,2021-12-08,"LWD,Fall/Winter,Academic"
Final exam period.,Final exam period.,2021-12-09,2021-12-21,"Fall/Winter,Academic"
"Registration cancelled if payment or deferral of fees has not been received for students who have enrolled in S courses ONLY. Students whose ACORN account does not show ""Registered"" status will be removed from classes.","Registration cancelled if payment or deferral of fees has not been received for students who have enrolled in S courses ONLY. Students whose ACORN account does not show ""Registered"" status will be removed from classes.",2021-12-09,2021-12-09,"Financial,Fall/Winter,Academic"
"Late registration begins for S courses. The fee is $44 + $5 for each additional weekday, and applies only to students who are required to reinstate their registration after being removed from courses for non-payment of fees or for students who enrol in S courses for the first time as of Dec 10.","Late registration begins for S courses. The fee is $44 + $5 for each additional weekday, and applies only to students who are required to reinstate their registration after being removed from courses for non-payment of fees or for students who enrol in S courses for the first time as of Dec 10.",2021-12-10,2021-12-10,"Financial,Fall/Winter,Academic"
Winter break. University closed.,Winter break. University closed.,2021-12-22,2021-12-31,"Academic,Fall/Winter,Financial,Breaks"
Deadline to cancel registration (withdraw from all courses) with no minimum charge if registered in S courses only.,Deadline to cancel registration (withdraw from all courses) with no minimum charge if registered in S courses only.,2022-01-09,2022-01-09,"Financial,Fall/Winter,Academic"
University re-opens. Classes begin for S courses and Y courses resume.,University re-opens. Classes begin for S courses and Y courses resume.,2022-01-10,2022-01-10,"Financial,Fall/Winter,Academic"
Exam contingency day.,Exam contingency day.,2022-01-15,2022-01-15,"Fall/Winter,Academic"
Deadline to submit Course Enrolment Exception Form for S courses (course overload petition and to enrol in a repeated course),Deadline to submit Course Enrolment Exception Form for S courses (course overload petition and to enrol in a repeated course),2022-01-21,2022-01-21,"Fall/Winter,Forms and Petitions,Academic"
Waitlist for S courses ends.,Waitlist for S courses ends.,2022-01-23,2022-01-23,"Fall/Winter,Academic"
Last day to add or change a section in an S course on ACORN.,Last day to add or change a section in an S course on ACORN.,2022-01-23,2022-01-23,"Fall/Winter,Academic"
First day for eligible students to submit their Second Attempt for Credit request for S courses.,First day for eligible students to submit their Second Attempt for Credit request for S courses.,2022-01-24,2022-01-24,"Fall/Winter,Academic"
First day to request Credit/No-Credit for S courses,First day to request Credit/No-Credit for S courses,2022-01-24,2022-01-24,"Financial,Fall/Winter,Academic"
Last day to confirm or withdraw your June graduation request on ACORN.,Last day to confirm or withdraw your June graduation request on ACORN.,2022-01-31,2022-01-31,"Fall/Winter,Academic"
Family Day holiday. University closed.,Family Day holiday. University closed.,2022-02-21,2022-02-21,"Financial,Fall/Winter,Academic"
Last day to drop a Y course from academic record and GPA.,Last day to drop a Y course from academic record and GPA.,2022-02-21,2022-02-21,"Fall/Winter,Drop Deadlines,Academic"
Reading Week.,Reading Week.,2022-02-22,2022-02-25,"Fall/Winter,Academic"
Deferred exam period for December 2021 exams.,Deferred exam period for December 2021 exams.,2022-02-22,2022-02-25,"Fall/Winter,Academic"
"Request period for Late Withdrawal (LWD) for Y courses at UTM, UTSC, and  St. George.","Request period for Late Withdrawal (LWD) for Y courses at UTM, UTSC, and  St. George.",2022-02-22,2022-04-08,"LWD,Fall/Winter,Academic"
Last day to drop an S course from academic record and GPA.,Last day to drop an S course from academic record and GPA.,2022-03-13,2022-03-13,"Fall/Winter,Drop Deadlines,Academic"
"Request period for Late Withdrawal (LWD) for S courses at UTM, UTSC, and St. George.","Request period for Late Withdrawal (LWD) for S courses at UTM, UTSC, and St. George.",2022-03-14,2022-04-08,"LWD,Fall/Winter,Academic"
Deadline to apply for a Letter of Permission to study at another Canadian university in the Summer Session.,Deadline to apply for a Letter of Permission to study at another Canadian university in the Summer Session.,2022-04-01,2022-04-01,"Fall/Winter,Academic"
Classes end for Y & S courses.,Classes end for Y & S courses.,2022-04-08,2022-04-08,"Fall/Winter,Academic"
Last day to request LWD (Late Withdrawal After the Drop Date) status.,Last day to request LWD (Late Withdrawal After the Drop Date) status.,2022-04-08,2022-04-08,"LWD,Fall/Winter,Academic"
"Last day to request or cancel Credit/No Credit on ACORN for UTM Y and S courses with a final exam. If there is no final exam, request or cancel CR/NCR before the last assignment or test is due in the course.","Last day to request or cancel Credit/No Credit on ACORN for UTM Y and S courses with a final exam. If there is no final exam, request or cancel CR/NCR before the last assignment or test is due in the course.",2022-04-08,2022-04-08,"Fall/Winter,Cr/NCr,Academic"
Last day to request or cancel Second Attempt for Credit for Y or S courses.,Last day to request or cancel Second Attempt for Credit for Y or S courses.,2022-04-08,2022-04-08,"Fall/Winter,Academic"
Deadline for UTM students enrolled in U of T Scarborough courses to request or cancel Credit/No Credit for Y and S course.,Deadline for UTM students enrolled in U of T Scarborough courses to request or cancel Credit/No Credit for Y and S course.,2022-04-08,2022-04-08,"Fall/Winter,Cr/NCr,Academic"
"Last day to request Late Withdrawal (LWD) for Y & S courses at UTM, UTSC and St. George.","Last day to request Late Withdrawal (LWD) for Y & S courses at UTM, UTSC and St. George.",2022-04-08,2022-04-08,"LWD,Fall/Winter,Academic"
Study Break. ,Study Break. ,2022-04-09,2022-04-10,"Academic,Fall/Winter,Financial,Breaks"
Final exam period.,Final exam period.,2022-04-11,2022-04-25,"Fall/Winter,Academic"
Good Friday. University closed.,Good Friday. University closed.,2022-04-15,2022-04-15,"Financial,Fall/Winter,Academic"
Exam contingency day.,Exam contingency day.,2022-04-26,2022-04-26,"Fall/Winter,Academic"
Deferred examination period for S & Y exams.,Deferred examination period for S & Y exams.,2022-04-27,2022-05-01,"Fall/Winter,Academic"
Last day for graduating students to show proof of payment for outstanding fees and to clear financial/administrative holds.,Last day for graduating students to show proof of payment for outstanding fees and to clear financial/administrative holds.,2022-04-30,2022-04-30,"Fall/Winter,Academic"
Deadline for all students to pay their outstanding fees for the Fall-Winter session.,Deadline for all students to pay their outstanding fees for the Fall-Winter session.,2022-04-30,2022-04-30,"Fall/Winter,Academic"
"Last day to pay minimum amount to register for the Fall-Winter, as indicated on ACORN invoice.","Last day to pay minimum amount to register for the Fall-Winter, as indicated on ACORN invoice.",2021-08-17,2021-08-17,"Financial,Fall/Winter"
"If you made your first tuition payment during this period, submit your proof of payment by September 1 at 4pm to avoid being removed from classes on September 2.","If you made your first tuition payment during this period, submit your proof of payment by September 1 at 4pm to avoid being removed from classes on September 2.",2021-08-18,2021-09-01,"Financial,Fall/Winter"
"For students paying course fees: Last day to drop (cancel) F and/or Y courses on ACORN and receive 100% course fee refund, as long as you are still registered in other courses for this session.","For students paying course fees: Last day to drop (cancel) F and/or Y courses on ACORN and receive 100% course fee refund, as long as you are still registered in other courses for this session.",2021-09-21,2021-09-21,"Financial,Fall/Winter,Drop Deadlines"
"For students paying deregulated program fee: Last day to cancel all courses and receive 100% program fee refund, minus the minimum charge. Deadline is at 4 p.m.","For students paying deregulated program fee: Last day to cancel all courses and receive 100% program fee refund, minus the minimum charge. Deadline is at 4 p.m.",2021-09-21,2021-09-21,"Financial,Fall/Winter"
For students paying course fees: Last day to drop an F course and receive a 75% course fee refund.,For students paying course fees: Last day to drop an F course and receive a 75% course fee refund.,2021-09-28,2021-09-28,"Financial,Fall/Winter,Drop Deadlines"
For students paying course fees: Last day to drop a Y course and receive a 75% course fee refund.,For students paying course fees: Last day to drop a Y course and receive a 75% course fee refund.,2021-10-13,2021-10-13,"Financial,Fall/Winter,Drop Deadlines"
For students paying course fees: Last day to drop an F course and receive a 50% course fee refund.,For students paying course fees: Last day to drop an F course and receive a 50% course fee refund.,2021-10-13,2021-10-13,"Financial,Fall/Winter,Drop Deadlines"
For students paying course fees: Last day to drop a Y course and receive a 50% course fee refund.,For students paying course fees: Last day to drop a Y course and receive a 50% course fee refund.,2021-11-10,2021-11-10,"Financial,Fall/Winter,Drop Deadlines"
For students registered in the Fall/Winter session: Deadline to pay fees for Winter term to avoid service charges (if you were registered by paying at least the minimum payment).,For students registered in the Fall/Winter session: Deadline to pay fees for Winter term to avoid service charges (if you were registered by paying at least the minimum payment).,2021-11-30,2021-11-30,"Financial,Fall/Winter"
"For students registered in the S term only, last day to pay minimum amount of tuition fees as indicated on ACORN invoice.","For students registered in the S term only, last day to pay minimum amount of tuition fees as indicated on ACORN invoice.",2021-11-30,2021-11-30,"Financial,Fall/Winter"
"For students registered in the S term only, if payment of fees is made during this period, students must provide proof of payment to the Office of the Registrar to avoid being removed from classes on December 9.","For students registered in the S term only, if payment of fees is made during this period, students must provide proof of payment to the Office of the Registrar to avoid being removed from classes on December 9.",2021-12-01,2021-12-08,"Financial,Fall/Winter"
"For students paying course fees: Last day to drop an S course on ACORN and receive 100% course fee refund, as long as you are still registered in other courses for this session.","For students paying course fees: Last day to drop an S course on ACORN and receive 100% course fee refund, as long as you are still registered in other courses for this session.",2022-01-23,2022-01-23,"Financial,Fall/Winter,Drop Deadlines"
"For students paying deregulated BCOM program fees: Last day to drop from full- to part-time status and receive 50% program fee refund. You will be charged 50% of the deregulated per course fees according to your credit weight during Fall/Winter. After this date, if you drop from full-time to part-time, no refund is received.","For students paying deregulated BCOM program fees: Last day to drop from full- to part-time status and receive 50% program fee refund. You will be charged 50% of the deregulated per course fees according to your credit weight during Fall/Winter. After this date, if you drop from full-time to part-time, no refund is received.",2022-01-23,2022-01-23,"Financial,Fall/Winter,Drop Deadlines"
For students paying course fees: Last day to drop an S course and receive a 75% course fee refund.,For students paying course fees: Last day to drop an S course and receive a 75% course fee refund.,2022-01-30,2022-01-30,"Financial,Fall/Winter,Drop Deadlines"
For students paying course fees: Last day to drop an S course and receive a 50% course fee refund.,For students paying course fees: Last day to drop an S course and receive a 50% course fee refund.,2022-02-13,2022-02-13,"Financial,Fall/Winter,Drop Deadlines"
